---- Valid keys for alphabet size = 8 ----
K(1 , 0) -- Inverse of a = 1
K(1 , 1) -- Inverse of a = 1
K(2 , 1) -- Inverse of a = 0
K(3 , 1) -- Inverse of a = 0
K(4 , 1) -- Inverse of a = 0
K(5 , 1) -- Inverse of a = 0
K(6 , 1) -- Inverse of a = 0
K(1 , 2) -- Inverse of a = 1
K(3 , 2) -- Inverse of a = 1
K(5 , 2) -- Inverse of a = 1
K(1 , 3) -- Inverse of a = 1
K(2 , 3) -- Inverse of a = -1
K(4 , 3) -- Inverse of a = 1
K(5 , 3) -- Inverse of a = -1
K(1 , 4) -- Inverse of a = 1
K(3 , 4) -- Inverse of a = -1
K(5 , 4) -- Inverse of a = 1
K(1 , 5) -- Inverse of a = 1
K(2 , 5) -- Inverse of a = -2
K(3 , 5) -- Inverse of a = 2
K(4 , 5) -- Inverse of a = -1
K(6 , 5) -- Inverse of a = 1
K(1 , 6) -- Inverse of a = 1
K(5 , 6) -- Inverse of a = -1
K(1 , 7) -- Inverse of a = 1
K(2 , 7) -- Inverse of a = -3
K(3 , 7) -- Inverse of a = -2
K(4 , 7) -- Inverse of a = 2
K(5 , 7) -- Inverse of a = 3
K(6 , 7) -- Inverse of a = -1
